ProdSKU,StyleSKU,LongDescrption,ShortDescription,SizeGridID,RecommendedSellingPrice,ActualSellingPrice,IsVPI,IsMarkDown,SeasonID,YearID,ProductSourceID,SupplierStyle,SupplierID,BuyerID,CostPriceUSD,CostPrice,IsAllowZero,DefaultTemplate,MarkDownTemplate,IsFreeGift,IsConsignment,IsDiscontinue,CreatedOn,UpdatedOn,ProdCat1ID,ProdCat2ID,ProdCat3ID,ProdCat4ID,AvailableSize,ColorID
299,1127,TOMS,TOMS,82,750,299.95,FALSE,FALSE,54,2019,Bought Out,001001B101,21,Ahmed Rawat,1,101.54,No,BBB,BBB,14812,FALSE,FALSE,2019-06-11,2019-06-11,Ladies,Sandles,Lace-On,Block Heel,"1,2,3,4,5,6,7,8",703
260,0929,TOMS,TOMS,82,1100,399.95,FALSE,FALSE,54,2019,Bought Out,1231072,21,Ahmed Rawat,1,137.5,No,BBB,BBB,14812,FALSE,FALSE,2019-06-11,2019-06-12,Ladies,Sandles,Lace-On,Block Heel,"1,2,3,4,5,6,7,8",703
