Code,Name,PermanentAddress1,PermanentAddress2,PermanentAddress3,PermanentCity,PermanentCountry,PermanentPostalcode,CorrespondanceAddress1,CorrespondanceAddress2,CorrespondanceAddress3,CorrespondanceCity,CorrespondanceCountry,CorrespondancePostalCode,Limit,ContactNumber,FaxNumber,RegistrationDate,
000046,ARTEC INTERNATIONAL,CHINA,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000047,TRAIL MIX TRADING,UNIT 12,ISLAND BUSINESS PARK,23 FLANDERS DRIVE,MOUNT EDGECOMBE,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000048,HAJEE/SHAMLEE,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000049,DICK WHITTINGTON SHOES PTY-LTD,OLD MAIN ROAD,PLESSISLAER,PMB,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,033 3981124,033 3981465,2019-06-11,
000050,SUGAR STAR TRADING,CHINESE (EDCON STOCK LOTS),SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000051,DREAMWORKS,CNR. ARKWRIGHT AVENUE,WYNBERG,JHB,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,[011]7861519,021 510 4707  ,2019-06-11,
000052,RALFRAN SOLUTIONS,32B CURZON RD,BRYANSTON,SANDTON,GAUTENG,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,0828073636,011-7041279,2019-06-11,
000053,HONGFU INTERNATIONAL,55 LANE 482,TAMA RD,"UAIPU HSIANG, TAICHUNG","HSIEN, TAIWAN",PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,00886 426837200,00886426837201,2019-06-11,
000054,NEW BALANCE,PO BOX 33,PLUMSTEAD,CAPE TOWN,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021-7056224,021-7050233,2019-06-11,
000055,JUMBO FOOTWEAR,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000056,GLOBE FOOTWEAR,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000057,FOOTHILLS,URBAN ZONE,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000058,JEIBU SHOES CHINA,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000059,ARTMAX SHOE,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000060,THEO,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000061,JUPITER EXPORTS,INDIA,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000062,ALLIED CHAMPION,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000063,NEW BELLE,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000064,HARLY FOOTWEAR,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000065,LUCAS SHOES,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
